ID;Имя ;Привязка к карточке
13867;Скважинный насос Джилекс Водомет 55/ 50;N
13868;Скважинный насос Джилекс Водомет 40/ 75;N
13869;Скважинный насос Джилекс Водомет 55/ 75;N
13870;Скважинный насос Джилекс Водомет 55/ 90;N
13871;Скважинный насос Джилекс Водомет 110/ 110;N
13872;Самовсасывающий насос Джилекс Джамбо 60/35 Ч;N
13873;Самовсасывающий насос Джилекс Джамбо 60/35 П;N
13874;Самовсасывающий насос Джилекс Джамбо 60/35 Н;N
13875;Самовсасывающий насос Джилекс Джамбо 70/50 Ч;N
13876;Самовсасывающий насос Джилекс Джамбо 70/50 П;N
13877;Самовсасывающий насос Джилекс Джамбо 70/50 Н;N
13878;Насос-автомат Джилекс Джамбо 60/35 П-К;N
13879;Насос-автомат Джилекс Джамбо 60/35 Н-К;N
13880;Насосная станция Джилекс Джамбо 50/28 Ч-14;N
13881;Насосная станция Джилекс Джамбо 50/28 Ч-18;N
13882;Насосная станция Джилекс Джамбо 60/35 Ч-24;N
13883;Насосная станция Джилекс Джамбо 60/35 П-24;N
13884;Насосная станция Джилекс Джамбо 60/35 Н-24;N
13885;Насосная станция Джилекс Джамбо 70/50 Ч-24;N
13886;Насосная станция Джилекс Джамбо 70/50 П-24;N
13887;Насосная станция Джилекс Джамбо 70/50 Н-24;N
13888;Насосная станция Джилекс Джамбо 70/50 Н-24 Н;N
13889;Насосная станция Джилекс Джамбо 70/50 П-50;N
13890;Насосная станция Джилекс Джамбо 70/50 Н-50;N
13891;Насосная станция Джилекс Джамбо 70/50 Н-50 Н;N
13892;Дренажный насос Джилекс Тугунок 110/8;N
13893;Дренажный насос Джилекс Тугунок 220/12;N
13894;Дренажный насос Джилекс Дренажник 350/17;N
13895;Дренажный насос Джилекс Дренажник 550/14;N
13896;Дренажный насос Джилекс Дренажник 200/25;N
